Carol Darley,bsnelsonjh@foxnews.com,394-966-9277,3,1851,640
Carol Triggs,adewittag@squarespace.com,438-817-7573,8,1893,3242
Caroline Jumper,hmollattkf@amazon.co.uk,596-400-5647,8,1986,11166
Cassandra Brandow,obundock8r@infoseek.co.jp,599-594-6808,10,1844,6076
Catherine Glotzbach,kreuterj4@fda.gov,808-590-1666,6,1846,905
Cathy Armstrong,mmidghallj9@comcast.net,581-939-0035,5,2198,1680
Cathy Hwang,ihawgoodgx@mapquest.com,314-980-3014,3,2488,1537
Cathy Prescott,ldetoc7v@weather.com,982-338-8330,8,1879,5402
Chad Cunningham,jprazor9x@fema.gov,324-592-4752,6,2254,1771
Chad McGuire,aklimmekfh@marriott.com,828-139-1360,4,1805,1662
Chad Sievert,dmartynov5p@globo.com,320-103-4439,4,2286,885
Charles Crestani,lmackenzieb2@washington.edu,188-461-6355,7,1903,2472
Charles McCrossin,hhacqueljz@wsj.com,880-376-7502,6,1823,2533
Charles Sheldon,hhanniger38@barnesandnoble.com,215-136-8539,5,2029,844
Charlotte Melton,bpassinghamew@wix.com,474-968-7113,6,1805,1475
Chloris Kastensmidt,thowitt4k@merriam-webster.com,512-178-4669,13,1836,3157
Chris Cortes,gvine1d@tamu.edu,926-736-7747,12,1817,3913
Chris McAfee,etolcherji@merriam-webster.com,140-586-1853,5,2182,2307
Chris Selesnick,cbrinkmann@guardian.co.uk,468-261-6235,12,1823,2754
Christina Anderson,tfonzo87@taobao.com,946-189-6168,9,1853,2648
Christina DeMoss,hmuntlf@icio.us,720-323-9905,2,1839,1206
Christina VanderZanden,ztoderbruggecf@i2i.jp,532-376-7990,5,2051,2830
Christine Abelman,cbartkowiaklt@intel.com,420-190-4129,4,1810,1422
Christine Kargatis,gpiatkow1r@usgs.gov,321-959-8565,5,1917,2946
Christine Phan,dclaussenfi@istockphoto.com,566-741-3438,8,1957,5889
Christine Sundaresam,olisciandro33@nymag.com,603-690-4847,11,1803,3202
Christopher Conant,pmilvarniekt@fc2.com,234-815-2660,5,1840,12129
Christopher Martinez,tcomazzoh7@independent.co.uk,378-755-7044,4,1834,8953
Christopher Schild,rcrosthwaite7z@163.com,391-312-7796,9,1799,3651
Christy Brittain,rmccroftk3@ft.com,457-594-5792,8,1823,1950
Chuck Clark,tgrieveio@answers.com,282-248-4155,10,1797,2870
Chuck Magee,callnutt9k@nsw.gov.au,605-866-1285,3,2233,288
Chuck Sachs,ccaneolx@php.net,674-863-2116,2,1824,551
Cindy Chapman,ibirkkz@vinaora.com,377-276-0060,9,1836,1660
Cindy Schnelling,vherionha@ucoz.com,497-542-8735,4,2221,1077
Cindy Stewart,aberkowitz9@yellowpages.com,978-848-1687,6,1855,5691
Claire Gute,cdalinderl6@mayoclinic.com,815-662-5532,3,2135,1149
Claudia Bergmann,kbroxtonet@harvard.edu,848-285-6665,8,1994,4246
Clay Cheatham,jshellsheerels@statcounter.com,679-885-7325,3,1824,113
Clay Ludtke,sholston58@cnn.com,137-848-1143,12,2081,10879
Clay Rozendal,sleytonjj@vinaora.com,192-967-0152,4,1854,2149
Clytie Kelty,nheather2a@jalbum.net,999-143-7639,11,1840,2373
Corey Catlett,etregunna76@sphinn.com,364-148-8804,7,1831,2541
Corey Roper,bpaulot3s@cdc.gov,772-812-6074,3,2267,476
Corey-Lock,brace9w@about.me,763-311-5903,5,2346,1300
Corinna Mitchell,ddriveri4@nps.gov,660-482-8337,6,1824,6339
Craig Carreira,hmiltoncs@quantcast.com,375-217-1163,7,1826,2270
Craig Carroll,llillofu@goo.ne.jp,905-108-9978,4,2596,2854
Craig Leslie,gperottiju@google.it,913-572-5784,5,1902,2353
Craig Molinari,ceads1c@blogspot.com,649-401-1561,4,2832,3985
Craig Reiter,hcheshired@sciencedirect.com,978-849-0195,4,1875,1600
Craig Yedwab,cobeefx@soup.io,202-671-2071,8,1857,2900
Cyma Kinney,fpallas1x@opera.com,439-359-2062,9,1879,1581
Cynthia Arntzen,kcossellax@g.co,908-373-9274,7,1917,3041
Cynthia Delaney,sseyfartan@umich.edu,703-238-4069,5,2196,1859
Cynthia Voltz,hcaldeirokc@over-blog.com,438-475-0175,9,1802,2370
Cyra Reiten,csnelgarhb@mit.edu,991-436-8347,3,1882,1398
Damala Kotsonis,kpibornb4@barnesandnoble.com,359-885-2355,12,1818,3256
Dan Campbell,aeulerbl@cdc.gov,838-415-5473,9,1834,3335
Dan Lawera,crubegabd@jugem.jp,535-498-9437,8,1897,1503
Dan Reichenbach,tarmourf8@hexun.com,501-353-7675,9,1800,6528
Dana Kaydos,sfiddimanfj@icio.us,274-219-4209,5,1842,4282
Daniel Byrd,lpashba30@chicagotribune.com,858-132-3848,8,1818,2172
Daniel Lacy,mwoodlandsg8@shutterfly.com,291-803-3056,6,1854,3273
Daniel Raglin,dchamperlenb@pen.io,670-756-4031,8,1847,8351
Dario Medina,cettritchg@huffingtonpost.com,467-711-3100,7,1911,1322
Darren Budd,clismeri6@msu.edu,332-379-5621,5,2038,2840
Darren Koutras,gsalsbergdr@dedecms.com,186-417-1632,5,1804,1687
Darren Powers,bwaldera1i@columbia.edu,513-661-7683,9,1923,1052
Darrin Martin,jkleedm@salon.com,195-326-6935,7,1854,6346
