order_date,order_id,customer,grand_total
2011-12-05,CA-2011-106376,Brendan Sweed,1281
2011-10-31,CA-2011-106439,Greg Guthrie,1008
2011-09-05,CA-2011-106572,Nora Preis,264
2011-08-24,CA-2011-106719,Robert Barroso,8
2011-12-06,CA-2011-106726,Roland Schwarz,1261
2011-12-29,CA-2011-106803,Debra Catini,144
2011-05-14,CA-2011-106810,Anthony Johnson,311
2011-09-02,CA-2011-106971,Bryan Mills,476
2011-07-05,CA-2011-107139,Dennis Pardue,181
2011-09-28,CA-2011-107153,George Zrebassa,46
2011-02-05,CA-2011-107181,Deborah Brumfield,117
2011-08-25,CA-2011-107398,Brendan Sweed,30
2011-11-02,CA-2011-107454,Roger Demir,124
2011-03-02,CA-2011-107524,Kristina Nunn,48
2011-12-12,CA-2011-107573,Philip Brown,23
2011-07-02,CA-2011-107594,Eric Hoffmann,80
2011-02-15,CA-2011-107706,Shui Tom,16
2011-02-08,CA-2011-107755,Cyma Kinney,115
2011-10-28,CA-2011-107769,Bill Tyler,258
2011-04-29,CA-2011-107811,Laura Armstrong,662
2011-09-08,CA-2011-107818,Marc Crier,1772
2011-08-24,CA-2011-107916,Jennifer Patt,26
2011-06-08,CA-2011-108147,Rick Duston,1745
2011-02-07,CA-2011-108182,Delfina Latchford,9
2011-10-02,CA-2011-108189,Erin Smith,598
2011-12-16,CA-2011-108273,Ed Jacobs,93
2011-10-31,CA-2011-108609,Anthony Jacobs,1422
2011-10-24,CA-2011-108707,Daniel Byrd,10
2011-05-28,CA-2011-108861,Magdelene Morse,137
2011-10-03,CA-2011-108903,Denny Ordway,213
2011-08-15,CA-2011-109043,Christine Sundaresam,244
2011-12-21,CA-2011-109127,John Castell,17
2011-11-05,CA-2011-109134,Deanra Eno,20
2011-06-30,CA-2011-109218,Anthony Rawles,32
2011-01-14,CA-2011-109232,Natalie DeCherney,546
2011-08-12,CA-2011-109302,Charles Sheldon,196
2011-02-21,CA-2011-109491,Linda Cazamias,83
2011-10-06,CA-2011-109680,Victoria Pisteka,386
2011-09-01,CA-2011-109855,Lena Hernandez,381
2011-07-21,CA-2011-109890,Patrick Gardner,36
2011-08-12,CA-2011-109897,Ben Wallace,892
2011-07-14,CA-2011-109904,Barbara Fisher,18
2011-09-07,CA-2011-109918,Lisa Ryan,132
2011-12-09,CA-2011-109932,Victoria Pisteka,248
2011-12-06,CA-2011-110030,Luke Foster,24
2011-08-05,CA-2011-110065,Stephanie Phelps,152
2011-10-22,CA-2011-110072,Maureen Gastineau,94
2011-04-25,CA-2011-110100,Lena Creighton,302
2011-07-12,CA-2011-110184,Ben Ferrer,506
2011-05-05,CA-2011-110219,Emily Burns,128
2011-11-23,CA-2011-110352,Emily Ducich,24
2011-10-18,CA-2011-110408,Alan Schoenberger,2217
2011-01-22,CA-2011-110422,Tom Boeckenhauer,25
2011-08-09,CA-2011-110527,Emily Ducich,21
2011-04-11,CA-2011-110555,Michelle Moray,410
2011-10-06,CA-2011-110611,Joy Daniels,84
2011-08-23,CA-2011-110639,Rick Hansen,72
2011-12-29,CA-2011-110786,Anthony Johnson,1366
2011-04-18,CA-2011-110849,John Lee,323
2011-06-01,CA-2011-111003,Corey Roper,335
2011-02-04,CA-2011-111059,Tom Boeckenhauer,97
2011-12-31,CA-2011-111150,Rob Williams,77
2011-03-02,CA-2011-111157,Nicole Hansen,155
2011-07-30,CA-2011-111192,Tom Stivers,1368
2011-11-24,CA-2011-111360,Alyssa Tate,6
2011-12-26,CA-2011-111451,Kelly Lampkin,855
2011-08-17,CA-2011-111500,Don Jones,485
2011-06-29,CA-2011-111773,Jim Karlsson,14
2011-04-23,CA-2011-111857,Nathan Mautz,49
2011-03-18,CA-2011-111871,Eileen Kiefer,1198
2011-05-04,CA-2011-111899,Nat Carroll,43
2011-05-05,CA-2011-111934,Giulietta Dortch,47
2011-09-29,CA-2011-111962,Evan Bailliet,818
2011-12-02,CA-2011-112158,David Philippe,1051
2011-04-03,CA-2011-112291,Katrina Edelman,233
2011-01-05,CA-2011-112326,Phillina Ober,288
2011-03-31,CA-2011-112403,Jas O'Carroll,1
2011-12-16,CA-2011-112718,Kean Nguyen,1
2011-09-11,CA-2011-112837,Liz Willingham,128
2011-09-17,CA-2011-112851,Nick Radford,183
2011-10-24,CA-2011-113047,Arthur Prichep,12
2011-12-24,CA-2011-113166,Luke Foster,10
2011-12-16,CA-2011-113257,Sean Christensen,329
2011-07-09,CA-2011-113271,Darrin Sayre,172
2011-12-12,CA-2011-113320,Logan Haushalter,31
2011-09-14,CA-2011-113362,Astrea Jones,460
2011-09-10,CA-2011-113383,Sandra Flanagan,337
2011-12-13,CA-2011-113579,Katherine Ducich,90
2011-05-13,CA-2011-113768,Aaron Hawkins,287
2011-09-13,CA-2011-113859,Becky Castell,340
2011-03-01,CA-2011-113880,Vicky Freymann,652
2011-04-05,CA-2011-113887,Tracy Hopkins,55
2011-06-16,CA-2011-113929,Chloris Kastensmidt,116
2011-09-23,CA-2011-113964,Julie Prescott,18
2011-07-09,CA-2011-114125,Gary Hansen,69
2011-05-10,CA-2011-114181,Art Foster,372
2011-11-01,CA-2011-114195,Erin Ashbrook,94
2011-11-05,CA-2011-114251,Maribeth Dona,1477
2011-10-11,CA-2011-114314,Dorothy Badders,16
2011-08-20,CA-2011-114321,Nick Crebassa,1417
2011-09-28,CA-2011-114335,Xylona Preis,337
2011-05-13,CA-2011-114433,Naresj Patel,150
2011-03-14,CA-2011-114510,Jason Fortune-,280
2011-12-23,CA-2011-114517,Tiffany House,110
2011-06-13,CA-2011-114643,Filia McAdams,15
2011-03-11,CA-2011-114790,Filia McAdams,783
2011-09-26,CA-2011-115049,Michael Moore,154
2011-05-02,CA-2011-115056,Andrew Roberts,26
2011-10-18,CA-2011-115084,Luke Schmidt,605
2011-09-26,CA-2011-115133,Dianna Arnett,53
2011-02-01,CA-2011-115161,Liz Carlisle,291
2011-08-25,CA-2011-115259,Ryan Crowe,199
2011-11-18,CA-2011-115336,Ann Blume,14
2011-08-06,CA-2011-115357,Roland Fjeld,63
2011-01-17,CA-2011-115791,Delfina Latchford,300
2011-06-09,CA-2011-115812,Brosina Hoffman,3714
2011-11-02,CA-2011-115889,Shahid Hopkins,409
2011-11-24,CA-2011-115973,Nathan Gelder,3
2011-07-15,CA-2011-115980,Victoria Wilson,10
2011-07-26,CA-2011-116190,Sheri Gordon,256
2011-03-04,CA-2011-116239,Clay Ludtke,355
2011-09-12,CA-2011-116246,Luke Weiss,3785
2011-11-15,CA-2011-116407,Jamie Frazer,362
2011-12-14,CA-2011-116568,Bryan Mills,186
2011-05-08,CA-2011-116666,Kean Thornton,1800
2011-12-15,CA-2011-116673,Jas O'Carroll,6
2011-06-30,CA-2011-116757,Michael Stewart,47
2011-04-26,CA-2011-116785,Marc Harrigan,34
2011-10-11,CA-2011-116834,Dean percer,408
2011-09-23,CA-2011-116904,Sanjit Chand,9900
2011-07-21,CA-2011-116932,Michelle Ellison,1174
2011-03-04,CA-2011-117016,Sanjit Chand,16
2011-10-19,CA-2011-117317,Jeremy Farry,13
2011-08-01,CA-2011-117345,Barbara Fisher,203
2011-10-07,CA-2011-117429,Mathew Reese,130
2011-07-22,CA-2011-117464,Naresj Patel,1136
2011-09-21,CA-2011-117478,Larry Hughes,7
2011-05-21,CA-2011-117639,Mitch Willingham,3334
2011-05-04,CA-2011-117709,Paul MacIntyre,47
2011-09-07,CA-2011-117765,Rick Bensley,644
2011-01-14,CA-2011-118192,Michael Moore,41
2011-12-29,CA-2011-118276,Michael Granlund,9
2011-04-29,CA-2011-118304,Katherine Hughes,20
2011-03-17,CA-2011-118339,Bradley Nguyen,250
2011-08-05,CA-2011-118962,Chad Sievert,472
2011-04-28,CA-2011-118976,Muhammed Yedwab,527
2011-11-27,CA-2011-119032,Maxwell Schwartz,4
2011-11-16,CA-2011-119144,Justin Deggeller,731
2011-11-25,CA-2011-119151,Mike Pelletier,1394
2011-05-11,CA-2011-119172,Harold Dahlen,122
2011-11-17,CA-2011-119375,Yoseph Carroll,3116
2011-12-15,CA-2011-119466,Sung Pak,9
2011-11-03,CA-2011-119529,Denise Monton,6
2011-10-08,CA-2011-119977,Duane Noonan,124
2011-07-04,CA-2011-120096,Katrina Edelman,210
2011-12-27,CA-2011-120243,Alyssa Tate,12
2011-11-07,CA-2011-120278,Maribeth Schnelling,317
2011-09-20,CA-2011-120411,Sarah Brown,505
2011-08-24,CA-2011-120432,Dorothy Wardle,26
2011-12-01,CA-2011-120474,Resi Pšlking,2854
2011-11-23,CA-2011-120544,Saphhira Shifley,46
2011-11-02,CA-2011-120670,Julie Kriz,800
2011-12-19,CA-2011-120768,Irene Maddox,1980
2011-10-03,CA-2011-120775,Russell D'Ascenzo,58
2011-03-23,CA-2011-120838,Patrick O'Donnell,935
2011-12-20,CA-2011-120852,William Brown,85
2011-09-27,CA-2011-120887,Thomas Seio,88
2011-11-06,CA-2011-120950,George Ashbrook,44
2011-11-10,CA-2011-121006,Sam Craven,1195
2011-11-28,CA-2011-121167,Mary O'Rourke,17
2011-11-04,CA-2011-121286,Odella Nelson,67
2011-11-03,CA-2011-121573,Speros Goranitis,841
2011-11-28,CA-2011-121629,Brian Thompson,999
2011-05-06,CA-2011-121664,Harold Pawlan,141
2011-08-19,CA-2011-121727,Jim Karlsson,11
2011-02-15,CA-2011-121762,Marina Lichtenstein,561
2011-04-08,CA-2011-121769,John Stevenson,172
2011-04-22,CA-2011-122070,Aaron Hawkins,258
2011-11-24,CA-2011-122217,Harold Pawlan,111
2011-04-13,CA-2011-122336,Jonathan Doherty,631
2011-02-17,CA-2011-122567,Michael Nguyen,9
2011-11-25,CA-2011-122588,Andy Reiter,53
2011-11-12,CA-2011-122609,Darren Powers,153
2011-07-22,CA-2011-122679,Alejandro Ballentine,20
2011-12-03,CA-2011-122749,Nathan Gelder,480
2011-09-07,CA-2011-122882,Sean Braxton,539
2011-09-29,CA-2011-122931,Suzanne McNair,2359
2011-06-30,CA-2011-123064,Russell Applegate,5
2011-09-08,CA-2011-123127,Stefania Perrino,17
2011-07-11,CA-2011-123225,Michael Nguyen,586
2011-08-22,CA-2011-123253,Deanra Eno,4
2011-08-26,CA-2011-123260,Frank Merwin,177
2011-07-18,CA-2011-123295,Adrian Hane,259
2011-10-13,CA-2011-123316,Sibella Parks,8
2011-11-07,CA-2011-123323,Lena Hernandez,123
2011-09-24,CA-2011-123344,Julia Dunbar,212
2011-02-03,CA-2011-123400,Eric Barreto,199
2011-01-19,CA-2011-123477,David Wiener,65
2011-11-07,CA-2011-123498,Tamara Chand,100
2011-06-18,CA-2011-123855,Mick Crebagga,140
2011-12-17,CA-2011-123925,Roy Franzšsisch,40
2011-04-07,CA-2011-124023,Pauline Johnson,9
2011-12-13,CA-2011-124079,Randy Ferguson,93
2011-12-16,CA-2011-124247,Stefanie Holloman,1404
2011-10-17,CA-2011-124394,Tracy Blumstein,131
2011-05-27,CA-2011-124429,Maya Herman,926
2011-07-14,CA-2011-124464,Shirley Schmidt,39
2011-08-08,CA-2011-124478,Matt Abelman,1110
2011-09-21,CA-2011-124513,Sara Luxemburg,66
2011-05-02,CA-2011-124618,Cari Schnelling,480
2011-06-22,CA-2011-124646,Dianna Vittorini,664
2011-08-27,CA-2011-124688,Corey Catlett,1812
2011-11-18,CA-2011-124702,Maya Herman,868
2011-07-27,CA-2011-124709,Giulietta Weimer,238
2011-08-05,CA-2011-124723,Gary Zandusky,489
2011-11-26,CA-2011-124730,Lynn Smith,415
2011-08-23,CA-2011-124737,Arthur Prichep,424
2011-07-12,CA-2011-124807,Max Engle,60
2011-09-29,CA-2011-124856,Lisa DeCherney,1609
2011-09-28,CA-2011-125136,Keith Dawkins,107
2011-05-16,CA-2011-125150,Pauline Webber,233
2011-09-03,CA-2011-125171,Allen Goldenen,14
2011-09-21,CA-2011-125514,Brian Moss,69
2011-12-05,CA-2011-125542,Nona Balk,521
2011-11-14,CA-2011-125556,Maris LaWare,877
2011-08-03,CA-2011-125612,Berenike Kampe,164
2011-11-22,CA-2011-125682,Robert Barroso,10
2011-09-10,CA-2011-125731,Clay Ludtke,1509
2011-02-09,CA-2011-125759,Nathan Mautz,15
2011-11-04,CA-2011-125829,William Brown,1729
2011-09-20,CA-2011-125997,Mitch Webber,3519
2011-06-23,CA-2011-126032,Brian Stugart,86
2011-09-07,CA-2011-126193,Shahid Shariari,322
2011-08-25,CA-2011-126200,Joe Elijah,38
2011-09-13,CA-2011-126277,Lena Hernandez,3
2011-12-23,CA-2011-126333,Michelle Ellison,5
2011-08-04,CA-2011-126361,Valerie Dominguez,2126
2011-09-09,CA-2011-126403,Rick Reed,2304
2011-09-20,CA-2011-126480,Henry Goldwyn,9
2011-09-01,CA-2011-126522,Larry Tron,54
2011-09-29,CA-2011-126683,Paul Prost,2355
2011-07-26,CA-2011-126760,Kunst Miller,1891
2011-12-29,CA-2011-126802,Zuschuss Carroll,39
2011-11-01,CA-2011-126907,Suzanne McNair,16
2011-06-15,CA-2011-126963,Pamela Stobb,37
2011-08-11,CA-2011-127012,Greg Matthias,76
2011-11-24,CA-2011-127131,Harold Ryan,721
2011-05-12,CA-2011-127159,Hunter Lopez,35
2011-05-21,CA-2011-127166,Katherine Hughes,187
2011-12-04,CA-2011-127187,Cathy Prescott,130
2011-09-19,CA-2011-127299,John Lee,2692
2011-12-31,CA-2011-127383,Candace McMahon,50
2011-11-25,CA-2011-127446,Matt Collister,1274
2011-09-22,CA-2011-127488,Maribeth Schnelling,5
2011-05-11,CA-2011-127523,Brooke Gillingham,36
2011-11-15,CA-2011-127558,Shahid Shariari,803
2011-09-26,CA-2011-127586,Christopher Schild,310
2011-02-12,CA-2011-127614,Natalie Fritzler,1508
2011-07-22,CA-2011-127691,Erin Mull,166
2011-03-17,CA-2011-127859,Quincy Jones,127
2011-07-20,CA-2011-127866,Jonathan Doherty,602
2011-09-02,CA-2011-127936,Clay Ludtke,21
2011-03-03,CA-2011-127964,Anne Pryor,161
2011-03-31,CA-2011-128055,Alex Avila,727
2011-11-19,CA-2011-128062,Alan Dominguez,6
2011-06-21,CA-2011-128146,Dave Brooks,1327
2011-11-17,CA-2011-128209,Greg Tran,6161
2011-03-25,CA-2011-128237,Christina Anderson,92
2011-11-11,CA-2011-128524,Mary Zewe,2159
2011-10-11,CA-2011-128538,Alan Shonely,8
2011-11-15,CA-2011-128622,Scott Cohen,11
2011-09-08,CA-2011-128839,Ted Trevino,255
2011-04-07,CA-2011-128846,Roland Schwarz,753
2011-11-15,CA-2011-128888,Peter BŸhler,605
2011-08-03,CA-2011-128986,Gary Hansen,93
2011-11-22,CA-2011-129091,Ruben Ausman,1023
2011-11-02,CA-2011-129147,Liz Carlisle,609
2011-08-17,CA-2011-129168,Ken Black,16
2011-07-21,CA-2011-129189,Harry Marie,752
2011-12-08,CA-2011-129364,Tim Brockman,266
2011-05-26,CA-2011-129574,Dean percer,48
2011-12-13,CA-2011-129819,Kimberly Carter,12
2011-07-12,CA-2011-129924,Alyssa Crouse,706
2011-12-15,CA-2011-129938,Ed Braxton,446
2011-01-12,CA-2011-130092,Seth Vernon,10
2011-05-19,CA-2011-130155,Tamara Dahlen,34
2011-05-03,CA-2011-130274,Joni Sundaresam,22
2011-03-03,CA-2011-130421,Sam Craven,177
2011-03-31,CA-2011-130428,Trudy Glocke,1142
2011-09-06,CA-2011-130449,Victoria Pisteka,100
2011-12-14,CA-2011-130575,Cari Sayre,9
2011-06-21,CA-2011-130624,Toby Braunhardt,697
2011-05-20,CA-2011-130673,Matt Collister,108
2011-10-24,CA-2011-130729,Allen Armold,34
2011-01-07,CA-2011-130813,Lycoris Saunders,19
2011-11-17,CA-2011-130869,Cassandra Brandow,7
2011-08-22,CA-2011-130918,Jeremy Pistek,8
2011-12-30,CA-2011-130960,Ken Brennan,10
2011-09-07,CA-2011-131002,Tom Boeckenhauer,1040
2011-03-01,CA-2011-131009,Shahid Collister,574
2011-12-01,CA-2011-131051,Toby Ritter,58
2011-03-30,CA-2011-131247,Guy Armstrong,206
2011-07-12,CA-2011-131310,Clay Ludtke,134
2011-04-28,CA-2011-131387,Arianne Irving,1680
2011-08-08,CA-2011-131450,Lena Radford,2050
2011-12-01,CA-2011-131527,Toby Braunhardt,96
2011-07-28,CA-2011-131541,Chloris Kastensmidt,193
2011-12-30,CA-2011-131800,Astrea Jones,158
2011-02-07,CA-2011-131905,Neil Ducich,322
2011-06-01,CA-2011-131926,Dianna Wilson,3746
2011-09-17,CA-2011-131947,Joseph Airdo,318
2011-10-13,CA-2011-132010,Michelle Arnett,390
2011-11-04,CA-2011-132227,Sam Zeldin,52
2011-09-26,CA-2011-132451,Karen Ferguson,605
2011-09-08,CA-2011-132500,Gary Zandusky,50
2011-10-06,CA-2011-132542,Alice McCarthy,15
2011-06-09,CA-2011-132612,Frank Olsen,1441
2011-09-19,CA-2011-132787,Mike Caudle,93
2011-10-07,CA-2011-132801,John Grady,107
2011-12-02,CA-2011-132864,Katherine Nockton,120
2011-12-24,CA-2011-132913,Adam Shillingsburg,14
2011-09-13,CA-2011-132962,Jessica Myrick,268
2011-04-28,CA-2011-132983,David Smith,160
2011-08-19,CA-2011-133158,David Wiener,359
2011-04-04,CA-2011-133228,Maurice Satty,85
2011-06-06,CA-2011-133270,Bryan Mills,13
2011-07-11,CA-2011-133305,Mark Hamilton,67
2011-02-23,CA-2011-133354,Sue Ann Reed,19
2011-06-22,CA-2011-133389,Toby Braunhardt,8
2011-03-30,CA-2011-133424,Dorris liebe,60
2011-12-22,CA-2011-133543,Khloe Miller,12
2011-12-31,CA-2011-133592,Katherine Murray,2846
2011-11-05,CA-2011-133634,Steven Roelle,48
2011-08-03,CA-2011-133690,Bruce Stewart,221
2011-09-20,CA-2011-133704,Michelle Arnett,64
2011-06-09,CA-2011-133753,Carl Weiss,142
2011-11-18,CA-2011-133809,MaryBeth Skach,21
2011-12-05,CA-2011-133830,Rob Lucas,91
2011-06-09,CA-2011-133851,Chuck Magee,30
2011-05-18,CA-2011-133963,George Ashbrook,4
2011-04-29,CA-2011-134061,Lauren Leatherbury,17
2011-01-31,CA-2011-134103,Mike Vittorini,241
2011-08-04,CA-2011-134215,Marina Lichtenstein,617
2011-07-06,CA-2011-134278,Emily Phan,560
2011-11-01,CA-2011-134313,Russell Applegate,2027
2011-12-20,CA-2011-134551,Tony Sayre,732
2011-04-20,CA-2011-134572,Seth Vernon,1191
2011-12-21,CA-2011-134621,Dennis Pardue,18
2011-10-06,CA-2011-134677,Xylona Preis,9
2011-11-02,CA-2011-134726,Steven Ward,95
2011-11-22,CA-2011-135090,Susan Pistek,54
2011-01-10,CA-2011-135405,Melanie Seite,41
2011-12-08,CA-2011-135608,Jim Karlsson,650
2011-06-03,CA-2011-135657,Steven Cartwright,516
2011-08-29,CA-2011-135699,Hilary Holden,123
2011-05-03,CA-2011-135755,Nathan Cano,51
2011-05-28,CA-2011-135993,Patrick Jones,85
2011-11-29,CA-2011-136280,Corey-Lock,5
2011-04-21,CA-2011-136336,Dorothy Badders,829
2011-12-16,CA-2011-136399,Chad Cunningham,1308
2011-12-20,CA-2011-136567,Penelope Sewall,2884
2011-06-16,CA-2011-136644,Sonia Cooley,648
2011-04-06,CA-2011-136742,Guy Phonely,45
2011-09-05,CA-2011-136861,Patrick Ryan,32
2011-10-20,CA-2011-137092,Lindsay Shagiari,862
2011-03-29,CA-2011-137274,Mike Gockenbach,891
2011-09-30,CA-2011-137351,Doug Bickford,43
2011-08-06,CA-2011-137575,Trudy Brown,200
2011-11-03,CA-2011-137589,Maxwell Schwartz,286
2011-10-09,CA-2011-137911,Bart Pistole,89
2011-08-15,CA-2011-138023,Keith Herrera,31
2011-12-30,CA-2011-138072,Guy Armstrong,28
2011-09-15,CA-2011-138100,Alex Avila,30
2011-12-09,CA-2011-138128,Frank Preis,1111
2011-09-19,CA-2011-138177,Neil Ducich,74
2011-07-18,CA-2011-138198,Jack Lebron,14
2011-10-09,CA-2011-138240,Shirley Jackson,161
2011-12-05,CA-2011-138296,Roy Collins,25
2011-06-21,CA-2011-138317,Natalie Webber,385
2011-04-01,CA-2011-138359,Katharine Harms,73
2011-03-26,CA-2011-138436,Jonathan Doherty,66
2011-10-18,CA-2011-138450,Edward Hooks,249
2011-05-23,CA-2011-138513,Erica Hackney,13
2011-09-12,CA-2011-138527,Brad Norvell,192
2011-12-20,CA-2011-138681,Carol Triggs,597
2011-07-04,CA-2011-138709,Maxwell Schwartz,37
2011-12-07,CA-2011-138737,Frank Preis,9
2011-04-11,CA-2011-138940,Gary Mitchum,758
2011-05-11,CA-2011-139017,Raymond Messe,47
2011-05-27,CA-2011-139192,Lena Creighton,1213
2011-11-23,CA-2011-139283,Bobby Trafton,15
2011-11-01,CA-2011-139423,Deirdre Greer,76
2011-10-12,CA-2011-139451,Duane Noonan,36
2011-10-25,CA-2011-139542,Evan Henry,54
2011-12-26,CA-2011-139598,Maureen Gnade,362
2011-12-17,CA-2011-139633,Erin Creighton,5
2011-02-03,CA-2011-139857,Cynthia Delaney,12
2011-09-08,CA-2011-139892,Becky Martin,10540
2011-03-21,CA-2011-140004,Cassandra Brandow,13
2011-09-08,CA-2011-140032,Toby Swindell,9
2011-09-13,CA-2011-140039,Odella Nelson,79
2011-05-13,CA-2011-140165,Erica Hernandez,405
2011-04-28,CA-2011-140228,George Bell,212
2011-11-20,CA-2011-140396,Katharine Harms,908
2011-10-10,CA-2011-140403,Tanja Norvell,138
2011-05-30,CA-2011-140473,Mark Cousins,720
2011-06-14,CA-2011-140487,Sharelle Roach,213
2011-11-17,CA-2011-140662,Thomas Seio,1075
2011-11-11,CA-2011-140732,Matt Abelman,708
2011-02-02,CA-2011-140795,Bradley Drucker,469
2011-12-20,CA-2011-140816,Toby Carlisle,448
2011-06-28,CA-2011-140858,Cynthia Arntzen,1640
2011-09-30,CA-2011-140886,Kelly Williams,69
2011-08-15,CA-2011-141005,Christine Sundaresam,63
2011-11-26,CA-2011-141110,Luke Schmidt,67
2011-09-16,CA-2011-141152,Randy Ferguson,34
2011-11-18,CA-2011-141173,Julie Creighton,67
2011-06-21,CA-2011-141278,Raymond Messe,21
2011-06-03,CA-2011-141299,Ross Baird,15
2011-12-28,CA-2011-141313,Anthony Jacobs,2583
2011-09-25,CA-2011-141355,Barry Franz,15
2011-12-12,CA-2011-141607,William Brown,43
2011-09-30,CA-2011-141649,Dario Medina,795
2011-07-20,CA-2011-141726,Charles Crestani,176
2011-06-21,CA-2011-141796,James Galang,1215
2011-01-06,CA-2011-141817,Mick Brown,20
2011-03-26,CA-2011-141838,Damala Kotsonis,60
2011-08-09,CA-2011-141901,Gene McClure,6
2011-06-22,CA-2011-142048,Joel Eaton,197
2011-12-23,CA-2011-142314,Sarah Foster,207
2011-12-22,CA-2011-142510,Nora Preis,274
2011-10-21,CA-2011-142587,Tracy Blumstein,531
2011-04-29,CA-2011-142727,Harry Greene,70
2011-09-13,CA-2011-142769,Resi Pšlking,562
2011-08-16,CA-2011-142839,Troy Staebel,853
2011-10-08,CA-2011-142951,Jack Garza,23
2011-07-20,CA-2011-142965,Scot Wooten,53
